WIN,POST,YEAR,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,W,L,SV,HLD,WPCT,IP,H_A,HR_A,BB_A,HBP_A,SO_A,R_A,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_A,2B_A,3B_A,SAC_A,SF_A,IBB_A,WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB_A,CS_A,CS%,SBA,SB,CS,SB%,OOB,PKO_1
N,Y,2022,KIA,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219,4.2,70,73,38,74,0.49,1279 2/3,1286,120,526,67,1042,679,597,1.42,0,7,64,18,5636,21803,0.261,233,22,75,45,20,56,2,107,5,3839,1378,111,0.98,8,64,41,39,137,103,34,75.2,57,5
N,N,2022,삼성,0.27,144,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273,4.29,66,76,34,71,0.465,1287,1370,129,478,66,971,695,613,1.44,1,6,63,21,5678,22174,0.272,251,15,62,34,22,47,3,118,9,3861,1448,125,0.978,6,51,35,40.7,118,91,27,77.1,50,6
N,Y,2022,LG,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236,3.33,87,55,43,107,0.613,1288,1179,94,451,59,1031,521,476,1.27,0,16,59,15,5432,20918,0.245,166,34,56,46,27,49,0,89,6,3864,1394,139,0.983,7,113,26,18.7,148,102,46,68.9,46,10
N,N,2022,롯데,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268,4.45,64,76,34,69,0.457,1280 2/3,1373,84,492,80,1199,712,633,1.46,0,13,58,13,5686,21932,0.274,257,22,64,37,21,72,1,114,3,3842,1403,124,0.979,11,99,39,28.3,100,61,39,61,54,6
N,N,2022,NC,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233,3.9,67,74,25,54,0.475,1286 2/3,1230,111,515,98,1168,642,557,1.36,0,11,58,15,5604,22069,0.252,218,18,60,42,10,80,5,127,4,3860,1360,115,0.976,9,60,42,41.2,139,100,39,71.9,56,7
N,N,2022,두산,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246,4.45,60,82,32,68,0.423,1279 1/3,1336,117,555,70,977,721,632,1.48,0,7,54,18,5700,22437,0.269,206,19,57,48,11,69,5,117,3,3838,1394,128,0.978,13,95,34,26.4,130,90,40,69.2,55,4
Y,Y,2022,SSG,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228,3.87,88,52,45,68,0.629,1301 1/3,1223,130,457,65,1023,622,560,1.29,1,10,78,23,5533,21355,0.248,174,17,53,33,18,75,2,109,9,3904,1455,138,0.98,4,107,31,22.5,137,98,39,71.5,42,4
N,Y,2022,KT,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,144,0.239,0.232,3.51,80,62,37,65,0.563,1287 1/3,1243,92,364,63,1074,562,502,1.25,1,8,81,13,5405,20356,0.254,188,19,54,38,22,43,3,97,13,3862,1425,132,0.982,8,69,26,27.4,123,89,34,72.4,38,6
N,Y,2022,키움,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182,3.79,80,62,48,84,0.563,1296 1/3,1247,96,490,70,1010,610,546,1.34,2,19,71,18,5579,21568,0.254,259,15,66,42,18,51,1,118,3,3889,1549,134,0.979,7,85,42,33.1,83,63,20,75.9,42,8
N,N,2022,한화,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211,4.83,46,96,25,81,0.324,1268 1/3,1314,112,602,83,974,759,680,1.51,1,9,37,25,5710,22412,0.268,268,22,63,57,39,65,4,134,7,3805,1406,111,0.975,8,121,51,29.7,142,93,49,65.5,49,6
Y,Y,2023,LG,0.279,144,5687,4881,767,1364,227,27,93,1924,714,94,55,583,16,73,804,89,0.394,0.361,0.755,144,0.298,0.217,3.67,86,56,37,92,0.606,1293 1/3,1266,74,491,76,977,610,527,1.36,0,9,50,18,5619,21814,0.256,215,17,64,42,15,47,5,128,8,3880,1341,131,0.976,10,115,30,20.7,267,166,101,62.2,78,15
N,N,2023,KIA,0.276,144,5607,4954,726,1365,224,21,101,1934,673,63,44,500,15,46,957,115,0.39,0.345,0.735,144,0.3,0.285,4.13,73,69,33,66,0.514,1269,1244,89,564,59,980,650,583,1.42,1,8,46,10,5558,21710,0.258,220,25,67,45,20,55,4,102,10,3807,1356,137,0.981,12,98,35,26.3,156,122,34,78.2,41,6
N,Y,2023,NC,0.27,144,5606,4895,679,1321,223,28,98,1894,642,63,55,493,10,100,1005,122,0.387,0.345,0.732,143,0.268,0.147,3.83,75,67,33,88,0.528,1281 1/3,1160,99,513,62,1090,617,545,1.31,0,14,53,17,5493,21941,0.241,179,24,63,42,6,58,3,130,7,3844,1339,126,0.976,7,96,42,30.4,157,111,46,70.7,53,8
N,Y,2023,KT,0.265,144,5649,4973,672,1316,235,14,89,1846,621,57,47,524,13,48,1074,96,0.371,0.338,0.709,143,0.276,0.244,3.94,79,62,39,61,0.56,1287,1326,83,413,50,968,616,564,1.35,0,12,64,14,5542,20672,0.268,213,22,81,54,22,63,4,99,16,3861,1354,117,0.981,3,111,23,17.2,117,87,30,74.4,54,5
N,N,2023,롯데,0.265,144,5576,4871,653,1289,231,19,69,1765,608,75,57,522,18,51,1000,110,0.362,0.338,0.7,144,0.288,0.263,4.15,68,76,35,82,0.472,1272 1/3,1328,80,532,82,1070,660,586,1.46,1,10,66,21,5653,22286,0.27,223,24,72,55,20,71,2,103,3,3817,1365,111,0.981,13,91,46,33.6,143,101,42,70.6,42,12
N,N,2023,삼성,0.263,144,5581,4912,636,1290,208,23,88,1808,603,77,43,487,15,62,954,114,0.368,0.334,0.702,143,0.267,0.199,4.6,61,82,38,69,0.427,1278 1/3,1414,120,464,52,899,728,654,1.47,1,5,63,17,5676,22135,0.28,238,22,66,51,19,51,7,103,9,3835,1403,111,0.981,6,86,32,27.1,138,103,35,74.6,56,10
N,N,2023,키움,0.261,144,5729,5062,607,1323,223,30,61,1789,576,51,58,484,21,74,1096,87,0.353,0.331,0.684,144,0.258,0.18,4.42,58,83,33,61,0.411,1288 1/3,1340,84,532,63,962,710,632,1.45,1,11,68,24,5704,21903,0.269,237,23,62,57,18,56,7,114,5,3865,1424,125,0.979,9,129,45,25.9,65,54,11,83.1,37,7
N,Y,2023,SSG,0.26,144,5630,4923,658,1279,229,16,125,1915,611,77,45,507,21,78,943,89,0.389,0.336,0.725,142,0.254,0.206,4.37,76,65,46,71,0.539,1288 1/3,1354,104,612,67,974,698,626,1.53,1,7,57,21,5722,22881,0.275,216,14,59,52,20,61,3,119,15,3865,1503,163,0.978,11,127,56,30.6,124,96,28,77.4,43,10
N,Y,2023,두산,0.255,144,5538,4859,620,1238,210,32,100,1812,565,57,41,505,25,76,975,90,0.373,0.332,0.705,144,0.242,0.214,3.92,74,68,41,70,0.521,1284 2/3,1245,90,501,82,1013,625,560,1.36,0,9,64,17,5582,22142,0.255,239,17,79,39,12,60,3,114,11,3854,1300,108,0.978,12,60,40,40,181,133,48,73.5,52,11
N,N,2023,한화,0.241,144,5628,4906,604,1184,211,12,100,1719,568,59,40,535,21,88,1162,103,0.35,0.324,0.674,144,0.24,0.178,4.38,58,80,20,68,0.42,1291 2/3,1292,101,518,103,1037,708,628,1.4,0,8,40,24,5682,22355,0.261,241,34,60,48,23,73,7,109,7,3875,1359,106,0.98,10,94,48,33.8,89,67,22,75.3,35,7
Y,Y,2024,KIA,0.301,144,5812,5124,858,1542,266,28,163,2353,812,45,53,529,18,59,915,119,0.459,0.369,0.828,144,0.308,0.34,4.4,87,55,44,89,0.613,1288,1365,141,539,85,1125,759,629,1.48,4,7,40,20,5771,22472,0.269,238,20,33,34,13,51,3,146,7,3864,1400,133,0.973,10,108,31,22.3,169,125,44,74,45,4
N,N,2024,롯데,0.285,144,5766,5110,802,1454,285,41,125,2196,757,37,57,494,12,68,1079,100,0.43,0.352,0.782,144,0.29,0.252,5.05,66,74,30,58,0.471,1280 2/3,1442,139,523,75,1131,791,719,1.53,1,6,57,27,5767,22487,0.285,254,20,52,55,18,81,3,123,10,3842,1411,143,0.977,3,89,36,28.8,147,105,42,71.4,54,13
N,Y,2024,LG,0.283,144,5725,4919,808,1394,238,29,115,2035,765,46,73,616,18,71,969,98,0.414,0.366,0.78,143,0.284,0.259,4.63,76,66,34,65,0.535,1277,1375,126,529,80,1082,728,657,1.49,2,6,58,20,5696,22197,0.276,219,11,49,57,10,68,4,102,5,3831,1348,135,0.981,10,126,40,24.1,250,171,79,68.4,61,12
N,Y,2024,KT,0.279,144,5808,5072,767,1413,234,16,145,2114,722,62,45,580,18,49,1123,112,0.417,0.355,0.772,144,0.277,0.223,5.11,72,70,28,50,0.507,1284 1/3,1448,155,443,65,1118,804,729,1.47,0,5,48,18,5721,21723,0.284,259,35,49,65,22,57,5,116,10,3853,1279,110,0.978,14,142,38,21.1,88,61,27,69.3,37,4
N,Y,2024,두산,0.276,144,5680,4975,789,1375,243,21,150,2110,743,55,59,510,17,81,1077,100,0.424,0.35,0.774,143,0.28,0.255,4.82,74,68,41,87,0.521,1283 2/3,1332,135,585,92,1083,748,688,1.49,1,6,42,20,5767,22955,0.267,225,31,55,42,11,67,4,84,9,3851,1263,109,0.984,15,97,28,22.4,234,184,50,78.6,56,4
N,N,2024,NC,0.274,144,5757,5009,773,1371,226,15,172,2143,737,50,57,513,14,128,1200,100,0.428,0.353,0.781,144,0.27,0.208,5,61,81,22,65,0.43,1275 2/3,1389,137,531,67,1061,801,708,1.51,0,7,54,15,5694,22277,0.279,268,24,58,58,9,47,6,108,8,3827,1312,115,0.979,8,86,51,37.2,137,104,33,75.9,47,10
N,N,2024,SSG,0.273,144,5647,5001,756,1367,239,20,152,2102,724,51,48,470,12,77,1095,85,0.42,0.342,0.762,144,0.286,0.161,5.25,72,70,33,80,0.507,1269 2/3,1341,163,630,74,1195,814,740,1.55,0,8,40,19,5737,22705,0.271,198,14,48,42,24,57,4,119,5,3809,1336,123,0.977,11,119,40,25.2,188,149,39,79.3,32,3
N,N,2024,한화,0.27,144,5702,5005,745,1351,224,18,127,1992,698,42,40,530,18,85,1077,109,0.398,0.347,0.745,144,0.295,0.245,4.98,66,76,26,68,0.465,1274 2/3,1437,128,511,76,1130,780,706,1.53,0,10,45,19,5720,22519,0.285,235,25,48,49,10,66,4,105,5,3824,1324,132,0.98,12,110,43,28.1,110,69,41,62.7,44,7
N,Y,2024,삼성,0.269,144,5697,4975,770,1336,204,17,185,2129,734,57,47,531,13,87,1150,94,0.428,0.346,0.774,143,0.271,0.226,4.68,78,64,41,116,0.549,1282 2/3,1384,164,477,81,980,719,667,1.45,2,11,47,25,5684,22342,0.276,225,23,47,62,18,58,2,81,3,3848,1252,105,0.984,8,114,50,30.5,142,113,29,79.6,39,4
N,N,2024,키움,0.264,144,5671,5015,672,1326,222,24,104,1908,641,37,49,492,10,78,1141,96,0.38,0.337,0.717,143,0.279,0.236,5.16,58,86,23,48,0.403,1272 2/3,1416,150,497,88,921,796,729,1.5,0,3,57,16,5708,21556,0.282,260,26,43,64,15,64,7,104,2,3818,1309,129,0.98,10,117,40,25.5,84,71,13,84.5,33,3
Y,Y,2025,LG,0.278,144,5713,4919,788,1366,219,19,130,2013,732,63,59,604,16,68,975,99,0.409,0.361,0.77,144,0.282,0.286,3.79,85,56,42,77,0.603,1279 1/3,1236,91,491,62,1080,584,539,1.35,1,11,69,15,5508,21562,0.254,227,19,50,38,12,44,2,92,10,3838,1438,137,0.983,7,95,23,19.5,170,121,49,71.2,49,7
N,Y,2025,삼성,0.271,144,5671,4899,775,1330,241,18,161,2090,728,67,55,564,25,86,1087,106,0.427,0.353,0.78,141,0.291,0.212,4.12,74,68,25,76,0.521,1268 2/3,1257,132,455,70,1048,647,581,1.35,3,10,59,19,5491,21229,0.259,211,17,73,43,16,45,1,87,8,3806,1389,122,0.984,12,107,26,19.5,130,98,32,75.4,53,3
N,N,2025,롯데,0.267,144,5682,4944,676,1318,242,26,75,1837,629,72,45,530,28,91,1030,123,0.372,0.346,0.718,144,0.275,0.218,4.75,66,72,36,69,0.478,1280,1351,128,560,73,1173,749,676,1.49,0,7,52,20,5747,22224,0.27,265,22,54,50,11,69,5,111,5,3840,1380,117,0.979,13,104,23,18.1,119,91,28,76.5,51,2
N,Y,2025,한화,0.266,144,5547,4892,689,1303,250,16,116,1933,643,79,46,439,22,90,1038,109,0.395,0.335,0.73,143,0.276,0.25,3.55,83,57,41,57,0.593,1290 1/3,1185,102,450,93,1339,554,509,1.27,1,13,68,16,5478,21746,0.244,215,27,43,40,14,60,9,86,4,3871,1325,100,0.984,11,96,39,28.9,139,101,38,72.7,50,15
N,N,2025,두산,0.262,144,5581,4952,647,1298,232,31,102,1898,592,53,42,469,20,65,1169,87,0.383,0.331,0.714,144,0.263,0.273,4.3,61,77,29,69,0.442,1280,1227,109,542,99,1054,686,612,1.38,0,7,52,29,5605,22028,0.253,223,23,72,47,23,72,1,120,12,3840,1363,123,0.977,12,103,43,29.5,187,144,43,77,58,8
N,Y,2025,NC,0.26,144,5570,4816,732,1254,221,31,128,1921,685,62,52,504,11,136,1090,83,0.399,0.344,0.743,142,0.283,0.202,4.82,71,67,39,103,0.514,1270,1279,146,621,97,1075,766,680,1.5,1,10,38,18,5704,22650,0.262,206,20,59,47,31,95,4,116,5,3810,1381,119,0.978,7,80,36,31,250,186,64,74.4,45,14
N,N,2025,KIA,0.258,144,5619,4944,668,1276,232,16,144,1972,624,43,39,526,17,67,1211,96,0.399,0.335,0.734,142,0.25,0.301,4.66,65,75,30,82,0.464,1274 2/3,1316,110,511,84,1058,734,660,1.43,1,6,58,21,5616,21595,0.268,244,21,59,55,19,53,2,123,10,3824,1422,127,0.977,8,111,41,27,99,77,22,77.8,44,7
N,Y,2025,SSG,0.256,144,5517,4875,609,1249,175,14,127,1833,578,52,37,493,19,60,1159,90,0.376,0.33,0.706,144,0.253,0.214,3.63,75,65,36,102,0.536,1283 1/3,1164,115,510,78,1193,576,517,1.3,1,9,45,14,5463,21584,0.244,173,9,62,38,23,56,1,106,10,3850,1398,139,0.98,4,110,46,29.5,176,129,47,73.3,40,3
N,N,2025,KT,0.253,144,5588,4845,648,1228,214,17,104,1788,613,65,43,555,16,80,1044,108,0.369,0.337,0.706,144,0.269,0.231,4.09,71,68,37,60,0.511,1278 1/3,1362,112,433,58,1067,657,581,1.4,1,10,74,13,5584,21031,0.273,221,21,60,39,25,61,6,103,5,3835,1458,105,0.981,6,128,32,20,72,48,24,66.7,40,9
N,N,2025,키움,0.244,144,5508,4935,581,1202,217,20,104,1771,540,38,33,439,13,63,1221,102,0.359,0.312,0.671,141,0.256,0.214,5.39,47,93,31,55,0.336,1269,1447,146,550,92,937,860,760,1.57,0,6,47,20,5800,22200,0.287,258,29,62,54,13,66,4,119,4,3807,1317,111,0.977,13,107,53,33.1,98,83,15,84.7,38,5
